ARBITRATION 2021,,,by club,,,,"4 player victories, 5 club victories",,,,
Player ,Season,Club,Pos'n,MLS,2020 WARP,Career WARP,2020 Salary,Player Request,Club                 Offer,2021 Salary,.
"Judge, Aaron",2021,NYA,rf-dh,4.051,0.5,15.7,"$8,500,000 ",,,"$10,175,000 ",
"Montgomery, Jordan",2021,NYA,lhp-s,3.145,0.6,2.2,,,,"$2,130,000 ",
"Sanchez, Gary",2021,NYA,c,4.086,-0.1,10.4,"$5,000,000 ",,,"$6,350,000 ",
"Torres, Gleyber",2021,NYA,2b,2.162,0.6,8.2,"$675,600 ",,,"$4,000,000 ",
"Urshela, Giovanny",2021,NYA,3b,3.127,1.4,6.0,"$2,475,000 ",,,"$4,650,000 ",
"Voit, Luke",2021,NYA,1b,2.169,1.4,3.1,"$634,000 ",,,"$4,700,000 ",
"Barnes, Jacob",2021,NYN,rhp,4.030,0.4,3.0,"$640,000 ",,,"$750,000 ",
"Castro, Miguel",2021,NYN,rhp,4.079,0.6,0.5,"$1,050,000 ",,,"$1,687,500 ",
"Conforto, Michael",2021,NYN,rf,5.043,0.9,12.0,"$8,000,000 ",,,"$12,250,000 ",
"Davis, J.D.",2021,NYN,3b,2.137,0.4,2.6,"$592,463 ","$2,475,000 ","$2,100,000 ","$2,100,000 ",
"Diaz, Edwin",2021,NYN,rhp-c,4.121,1.0,8.5,"$5,100,000 ",,,"$7,000,000 ",
"Gsellman, Robert",2021,NYN,rhp-s,4.042,-0.3,0.8,"$1,225,000 ",,,"$1,300,000 ",
"Heredia, Guillermo",2021,NYN,of,3.112,0.3,3.5,"$1,000,000 ",,,"$1,000,000 ",
"Lindor, Francisco",2021,NYN,ss,5.113,1.3,26.4,"$17,500,000 ",,,"$22,300,000 ",
"Lugo, Seth",2021,NYN,rhp-s,4.082,1.0,5.5,"$2,000,000 ",,,"$2,925,000 ",
"Matz, Steven",2021,NYN,lhp-s,5.099,-0.7,8.0,"$5,000,000 ",,,"$5,200,000 ",
"Nimmo, Brandon",2021,NYN,lf,4.042,0.9,6.0,"$2,175,000 ",,,"$4,700,000 ",
"Shreve, Chasen",2021,NYN,lhp,5.012,0.5,2.6,"$1,500,000 ",,non-tendered,,
"Smith, Dominic",2021,NYN,1b,2.146,0.5,0.3,"$578,826 ",,,"$2,550,000 ",
"Syndergaard, Noah",2021,NYN,rhp-s,5.149,-,22.1,"$9,700,000 ",,,"$9,700,000 ",
"Tropeano, Nick",2021,NYN,rhp-s,4.050,0.2,0.9,,,non-tendered,,
"Bassitt, Chris",2021,OAK,rhp,4.130,1.1,1.6,"$2,250,000 ",,,"$4,900,000 ",
"Canha, Mark",2021,OAK,1b-lf,5.092,1.6,7.3,"$4,800,000 ",,,"$6,925,000 ",
"Chapman, Matt",2021,OAK,3b,3.109,-0.2,13.4,"$623,500 ",,,"$6,490,000 ",
"Kemp, Tony",2021,OAK,2b-of,3.098,0.2,1.2,"$597,100 ",,,"$1,050,000 ",
