ARBITRATION 2023,,,by club,,,,"6 player victories, 13 club victories",,,   ,
Player ,Season,Club,Pos'n,MLS,2022 WARP,Career WARP,2022 Salary,Player Request,Club                 Offer,2023 Salary,Estimate
"Milner, Hoby",2023,MIL,lhp,3.068,0.8,1.8,"$705,100 ",,,"$1,025,000 ","$1,250,000"
"Perdomo, Luis",2023,MIL,rhp,5.034,0.1,1.9,,,non-tendered,,"$1,250,000"
"Tellez, Rowdy",2023,MIL,1b,4.004,2.2,3.9,"$1,940,000 ",,,"$4,950,000 ","$3,750,000"
"Toro, Abraham",2023,MIL,3b,2.149,0.5,1.5,"$730,300 ",,,"$1,250,000 ","$1,250,000"
"Urías, Luis",2023,MIL,2b-ss,3.120,1.8,4.7,"$2,550,000 ",,,"$4,700,000 ","$3,500,000"
"Williams, Devin",2023,MIL,rhp,3.056,1.8,4.5,"$714,500 ",,,"$3,350,000 ","$3,000,000"
"Woodruff, Brandon",2023,MIL,rhp-s,4.161,3.7,14.5,"$6,800,000 ",,,"$10,800,000 ","$13,250,000"
"Alcala, Jorge",2023,MIN,rhp,3.014,0.0,1.4,"$717,900 ",,,"$790,000 ","$980,000"
"Coulombe, Daniel",2023,MIN,lhp,4.008,0.0,2.8,"$979,500 ",,outrighted,,"$1,450,000"
"Farmer, Kyle",2023,MIN,inf,4.129,1.2,2.9,"$3,155,000 ",,,"$5,585,000 ","$4,655,000"
"Garlick, Kyle",2023,MIN,rf,2.163,0.5,1.1,,,,"$750,000 ","$1,000,000"
"López, Jorge",2023,MIN,rhp,4.102,0.8,2.6,"$1,500,000 ",,,"$3,525,000 ","$2,900,000"
"Mahle, Tyler",2023,MIN,rhp-s,5.018,1.5,8.6,"$5,200,000 ",,,"$7,500,000 ","$8,000,000"
"Paddack, Chris",2023,MIN,rhp-s,4.000,0.2,5.8,"$2,250,000 ",,,"$2,400,000 ","$3,250,000"
"Pagán, Emilio",2023,MIN,rhp,5.091,1.3,4.2,"$2,300,000 ",,,"$3,500,000 ","$4,250,000"
"Stashak, Cody",2023,MIN,rhp,3.064,0.2,0.8,"$720,400 ",,outrighted,,"$980,000"
"Thielbar, Caleb",2023,MIN,lhp,4.131,1.5,3.8,"$1,300,000 ",,,"$2,400,000 ","$2,950,000"
"Cortes, Nestor",2023,NYA,lhp-s,3.094,2.6,3.6,"$727,500 ",,,"$3,200,000 ","$2,100,000"
"Germán, Domingo",2023,NYA,rhp-s,4.017,0.4,5.4,"$1,750,000 ",,,"$2,600,000 ","$2,350,000"
"Higashioka, Kyle",2023,NYA,c,4.005,1.8,4.6,"$935,000 ",,,"$1,462,500 ","$1,800,000"
"Holmes, Clay",2023,NYA,rhp,4.031,1.0,2.9,"$1,100,000 ",,,"$3,300,000 ","$3,200,000"
"Kiner-Falefa, Isiah",2023,NYA,ss,5.000,1.3,5.9,"$4,700,000 ",,,"$6,000,000 ","$6,250,000"
"King, Michael",2023,NYA,rhp,3.004,1.3,2.2,"$722,500 ",,,"$1,300,000 ","$1,900,000"
"Loáisiga, Jonathan",2023,NYA,rhp,4.022,0.3,2.9,"$1,650,000 ",,,"$2,262,500 ","$3,000,000"
"Locastro, Tim",2023,NYA,2b-of,3.122,0.1,1.6,,,outrighted,,"$1,350,000"
"Montas, Frankie",2023,NYA,rhp-s,5.015,0.6,8.0,"$5,025,000 ",,,"$7,500,000 ","$7,025,000"
"Peralta, Wandy",2023,NYA,lhp,5.168,0.7,2.6,"$2,150,000 ",,,"$3,350,000 ","$3,250,000"
"Torres, Gleyber",2023,NYA,ss,4.162,2.9,11.7,"$6,250,000 ","$10,200,000 ","$9,700,000 ","$9,950,000 ","$9,500,000"
"Trevino, Jose",2023,NYA,c,3.063,3.6,6.7,"$720,000 ",,,"$2,360,000 ","$3,600,000"
"Trivino, Lou",2023,NYA,rhp,4.163,0.4,3.9,"$3,000,000 ",,,"$4,100,000 ","$3,600,000"
