,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
32,Cesar Jimenez,Phillies,3.02,,,,Unknown
33,Charlie Furbush,Mariners,3.121,,,,$1.300MM
34,Chris Carter,Astros,2.159 ⇑,,,,$4.175MM
35,Chris Coghlan,Cubs,4.148,,,,$2.505MM
36,Chris Davis,Orioles,5.061,,,,$12.000MM
37,Chris Tillman,Orioles,3.113,,,,$4.315MM
38,Chris Stewart,Pirates,4.091,,,,$1.225MM
39,Chris Heisey,Dodgers,4.157,,,,$2.160MM
40,Cliff Pennington,Diamondbacks,5.114,,,,$3.275MM
41,Collin Cowgill,Angels,2.151 ⇑,,,,$0.995MM
42,Craig Gentry,Athletics,4.084,,,,$1.600MM
43,Craig Stammen,Nationals,4.16,,,,$2.250MM
44,Dale Thayer,Padres,3.071,,,,$1.375MM
45,Daniel Murphy,Mets,5.109,$8.600MM,$7.400MM,$8.000MM,$8.000MM
46,Daniel Nava,Red Sox,3.045,$2.250MM,$1.300MM,$1.775MM,$1.850MM
47,Danny Valencia †,Blue Jays,3.118,$1.675MM,$1.250MM,$1.462MM,$1.675MM
48,Danny Espinosa,Nationals,3.113,,,,$1.800MM
49,Danny Duffy,Royals,3.085,$3.000MM,$1.750MM,$2.375MM,$2.425MM
50,Darwin Barney,Dodgers,4.053,,,,$2.525MM
51,David Freese,Angels,5.028,$7.600MM,$5.250MM,$6.425MM,$6.425MM
52,David Carpenter,Yankees,3.016,,,,$1.300MM
53,David Hernandez,Diamondbacks,5.095,,,,$2.000MM
54,David Price,Tigers,5.164,,,,$19.750MM
55,David Phelps ‡,Marlins,2.156 ⇑,$1.875MM,$1.400MM,$1.637MM,$1.400MM
56,Dayan Viciedo,White Sox,3.123,,,,$4.400MM
57,Dee Gordon,Marlins,2.154 ⇑,,,,$2.500MM
58,Desmond Jennings,Rays,3.101,,,,$3.100MM
59,Devin Mesoraco,Reds,3.028,$3.600MM,$2.450MM,$3.025MM,Extension
60,Dexter Fowler,Astros,5.168,$10.800MM,$8.500MM,$9.650MM,$9.500MM
61,Dillon Gee,Mets,4.028,,,,$5.300MM
